entity_id,custom_term,category,place,date_or_period,doc_id,page_number,context_snippet,confidence
custom_6b6c0cb2ffe314,风俗,general_custom,盛泽镇,,swhgz_8ac060901a96,14,"., • •• ••• • • • • • • …367 第十四卷 …419 社会. . "" . . 风俗 岁时节令 婚事习俗 交往习俗 丧葬习俗 行业习俗 佛教 道教 基督教 第四节天主教 第三章社会福利 第一节清",high
custom_b3e3a65fd24605,岁时,seasonal_custom,盛泽镇,清代,swhgz_8ac060901a96,14,"• •• ••• • • • • • • …367 第十四卷 …419 社会. . "" . . 风俗 岁时节令 婚事习俗 交往习俗 丧葬习俗 行业习俗 佛教 道教 基督教 第四节天主教 第三章社会福利 第一节清代的慈",high
custom_179d0a7da69b3d,节令,seasonal_custom,盛泽镇,清代,swhgz_8ac060901a96,14,"•• ••• • • • • • • …367 第十四卷 …419 社会. . "" . . 风俗 岁时节令 婚事习俗 交往习俗 丧葬习俗 行业习俗 佛教 道教 基督教 第四节天主教 第三章社会福利 第一节清代的慈善机",high
custom_d11b5dacc9cce1,习俗,general_custom,盛泽镇,清代,swhgz_8ac060901a96,14,"•• • • • • • • …367 第十四卷 …419 社会. . "" . . 风俗 岁时节令 婚事习俗 交往习俗 丧葬习俗 行业习俗 佛教 道教 基督教 第四节天主教 第三章社会福利 第一节清代的慈善机构 民国时",high
custom_c4d8ac3b6b22fa,习俗,general_custom,盛泽镇,清代,swhgz_8ac060901a96,14,"• • • • • …367 第十四卷 …419 社会. . "" . . 风俗 岁时节令 婚事习俗 交往习俗 丧葬习俗 行业习俗 佛教 道教 基督教 第四节天主教 第三章社会福利 第一节清代的慈善机构 民国时期的慈善机",high
custom_2276091694cd9d,习俗,general_custom,盛泽镇,清代,swhgz_8ac060901a96,14,"• • …367 第十四卷 …419 社会. . "" . . 风俗 岁时节令 婚事习俗 交往习俗 丧葬习俗 行业习俗 佛教 道教 基督教 第四节天主教 第三章社会福利 第一节清代的慈善机构 民国时期的慈善机构 第三节",high
custom_9b4059003d5c06,习俗,general_custom,盛泽镇,清代,swhgz_8ac060901a96,14,"…367 第十四卷 …419 社会. . "" . . 风俗 岁时节令 婚事习俗 交往习俗 丧葬习俗 行业习俗 佛教 道教 基督教 第四节天主教 第三章社会福利 第一节清代的慈善机构 民国时期的慈善机构 第三节建国后的社",high
custom_f778fd13b83c18,风俗,general_custom,盛泽镇,民国,swhgz_8ac060901a96,17,200 首J皆为脉盛泽风物之 作，每诗后有注解，实为诗歌体的盛泽方志，除脉前代史事外，还记 载了一些民国初年的风俗、人事。另外，还有仲浮山(少梅)所藏 4盛湖志》残本，手抄，作者快名. 5,high
custom_13518748f6d6d2,风俗,general_custom,无锡,乾隆,swhgz_8ac060901a96,34,"故名(据乾隆《盛湖志""。 塔场 原有场地一方，因灯塔放置于此而得名。旧时阴历七月 初一至三十日，盛泽有点塔灯的风俗，其塔7 层，每层7 盏，共49 盏。此风俗始于清代，意在为水鬼超度(据《无锡汇览}} )。 满洲城 据传清兵",high
custom_33ed0897e00d00,风俗,general_custom,无锡,清代,swhgz_8ac060901a96,34,，因灯塔放置于此而得名。旧时阴历七月 初一至三十日，盛泽有点塔灯的风俗，其塔7 层，每层7 盏，共49 盏。此风俗始于清代，意在为水鬼超度(据《无锡汇览}} )。 满洲城 据传清兵南下时驻扎盛泽，部分满人留居，聚于比 处，建,high
