entity_id,dialect_term,explanation_or_context,place,doc_id,page_number,context_snippet,confidence
dialect_685aff1148cf99,方言,".450 第二节盛泽望族…………... . . . .………"" .., •.. .., ...452 第六章方言……………………………………………… 455 第一节词汇.. . '"" . .…. . . . . . . .",盛泽镇,swhgz_8ac060901a96,15,".450 第二节盛泽望族…………... . . . .………"" .., •.. .., ...452 第六章方言……………………………………………… 455 第一节词汇.. . '"" . .…. . . . . . . .",high
dialect_77ab532b4d9217,俗语,". . . . . . .……. ... ..- ... .., ••• ••• ...455 第二节谚语俗语…….. . . . .………·………. ... '..459 第三节歇后语……. . . . ..…………",盛泽镇,swhgz_8ac060901a96,15,". . . . . . .……. ... ..- ... .., ••• ••• ...455 第二节谚语俗语…….. . . . .………·………. ... '..459 第三节歇后语……. . . . ..…………",medium
dialect_204f1371c076da,方言,"徐民与郑民亦为表亲。建国后，由于社会变革和人们的观念真新， 己不存在""望族""之称. 454 第六章方 盛泽的方言和整个吴江县的方言一样属吴语系。在吴江县的 方言中，大体可分为松陵、震泽、盛泽3 个区域。县境的东北部近 松陵",吴江县;吴江,swhgz_8ac060901a96,115,"徐民与郑民亦为表亲。建国后，由于社会变革和人们的观念真新， 己不存在""望族""之称. 454 第六章方 盛泽的方言和整个吴江县的方言一样属吴语系。在吴江县的 方言中，大体可分为松陵、震泽、盛泽3 个区域。县境的东北部近 松陵",high
dialect_d61a12d5b5fd9f,方言,"。建国后，由于社会变革和人们的观念真新， 己不存在""望族""之称. 454 第六章方 盛泽的方言和整个吴江县的方言一样属吴语系。在吴江县的 方言中，大体可分为松陵、震泽、盛泽3 个区域。县境的东北部近 松陵，西部近震泽。而盛",吴江县;吴江,swhgz_8ac060901a96,115,"。建国后，由于社会变革和人们的观念真新， 己不存在""望族""之称. 454 第六章方 盛泽的方言和整个吴江县的方言一样属吴语系。在吴江县的 方言中，大体可分为松陵、震泽、盛泽3 个区域。县境的东北部近 松陵，西部近震泽。而盛",high
dialect_350c55a0120c29,方言,"观念真新， 己不存在""望族""之称. 454 第六章方 盛泽的方言和整个吴江县的方言一样属吴语系。在吴江县的 方言中，大体可分为松陵、震泽、盛泽3 个区域。县境的东北部近 松陵，西部近震泽。而盛泽方言独树一帜，在语音和词汇上",吴江县;吴江,swhgz_8ac060901a96,115,"观念真新， 己不存在""望族""之称. 454 第六章方 盛泽的方言和整个吴江县的方言一样属吴语系。在吴江县的 方言中，大体可分为松陵、震泽、盛泽3 个区域。县境的东北部近 松陵，西部近震泽。而盛泽方言独树一帜，在语音和词汇上",high
dialect_6657a40979de11,方言,"样属吴语系。在吴江县的 方言中，大体可分为松陵、震泽、盛泽3 个区域。县境的东北部近 松陵，西部近震泽。而盛泽方言独树一帜，在语音和词汇上与松陵、 震泽多有差异。以称呼论，""吾佳""(我们)在盛泽以外的其它区域 均不使用。""缆",吴江县;吴江,swhgz_8ac060901a96,115,"样属吴语系。在吴江县的 方言中，大体可分为松陵、震泽、盛泽3 个区域。县境的东北部近 松陵，西部近震泽。而盛泽方言独树一帜，在语音和词汇上与松陵、 震泽多有差异。以称呼论，""吾佳""(我们)在盛泽以外的其它区域 均不使用。""缆",high
dialect_376074e46aed8c,吴语,"由于社会变革和人们的观念真新， 己不存在""望族""之称. 454 第六章方 盛泽的方言和整个吴江县的方言一样属吴语系。在吴江县的 方言中，大体可分为松陵、震泽、盛泽3 个区域。县境的东北部近 松陵，西部近震泽。而盛泽方言独树",吴江县;吴江,swhgz_8ac060901a96,115,"由于社会变革和人们的观念真新， 己不存在""望族""之称. 454 第六章方 盛泽的方言和整个吴江县的方言一样属吴语系。在吴江县的 方言中，大体可分为松陵、震泽、盛泽3 个区域。县境的东北部近 松陵，西部近震泽。而盛泽方言独树",high
dialect_13d4bac4b21068,俗语,稳 市货一一物件质量好，货真 价实 遥腾腾一一遥远 寻铜锢一一挣钱 垫舌头一一不体面 扰-.-浪费 第二节谚语俗语 有打有骂有值钱(对孩子既爱护叉严格) 贪贱两家穷(两家指买卖双方) 者糠搓绳开头难 猫射污、狗做主(甲的事由,盛泽镇,swhgz_8ac060901a96,117,稳 市货一一物件质量好，货真 价实 遥腾腾一一遥远 寻铜锢一一挣钱 垫舌头一一不体面 扰-.-浪费 第二节谚语俗语 有打有骂有值钱(对孩子既爱护叉严格) 贪贱两家穷(两家指买卖双方) 者糠搓绳开头难 猫射污、狗做主(甲的事由,medium
dialect_f02c2fab652710,方言,不委用”之下忽接“痛责监禁”云云，必有脱误。又“助屯 工食”句下、“虚费官银”句下似皆有阙文，无从查补。 卷六方言 “虹”曰“扛”、“肉”曰“揉”、“忘”曰“望”，皆韵书所有。旧志以为来邑土音，盖未考耳。 卷十一人物,来安县,swhgz_842a00b22f4b,499,不委用”之下忽接“痛责监禁”云云，必有脱误。又“助屯 工食”句下、“虚费官银”句下似皆有阙文，无从查补。 卷六方言 “虹”曰“扛”、“肉”曰“揉”、“忘”曰“望”，皆韵书所有。旧志以为来邑土音，盖未考耳。 卷十一人物,high
dialect_0a8b2ec2a39e38,音系,。新投放的10辆商务班车，宽敞的车身内仅设置了32个座位，按“2＋1”格局排列 每车配有7台液晶电视和高档影音系统，车辆的动力性、安全性和乘坐舒适度大大提高。 2007年8月15日 南京白鹭客运公司开通南京至上海浦东机场和,南京;上海,swhgz_4156be344675,26,。新投放的10辆商务班车，宽敞的车身内仅设置了32个座位，按“2＋1”格局排列 每车配有7台液晶电视和高档影音系统，车辆的动力性、安全性和乘坐舒适度大大提高。 2007年8月15日 南京白鹭客运公司开通南京至上海浦东机场和,medium
dialect_c1b5be855aa697,方言,吟，感叹唏嘘不能置”。12岁起参加童子试，6次应试而不第，遂放弃科举业。光绪二十六年 ，吴樾到上海，考入“广方言馆”。当时八国联军攻入北京，清廷与外国订立丧权辱国的“辛丑条约”，国家正面临生死存亡的危急关头，吴樾悲愤交加，,上海,swhgz_321865661e46,139,吟，感叹唏嘘不能置”。12岁起参加童子试，6次应试而不第，遂放弃科举业。光绪二十六年 ，吴樾到上海，考入“广方言馆”。当时八国联军攻入北京，清廷与外国订立丧权辱国的“辛丑条约”，国家正面临生死存亡的危急关头，吴樾悲愤交加，,high
dialect_7845de3eda206e,方言,、官制、警政、自治，财政，司法；卷7～8教育；卷9兵备、交通；卷10外交；卷11～12食货，卷13礼俗；卷14方言、宗教；卷15人表、艺文；卷16历代大事表。凡图52、照片75、表60。是志不囿于旧志门类，自立义例。其《气候,,swhgz_4ce3b5c5c31c,18,、官制、警政、自治，财政，司法；卷7～8教育；卷9兵备、交通；卷10外交；卷11～12食货，卷13礼俗；卷14方言、宗教；卷15人表、艺文；卷16历代大事表。凡图52、照片75、表60。是志不囿于旧志门类，自立义例。其《气候,high
