doc_id,pilot_bucket,source_file_name,region_guess,extension,pdf_kind,page_count,size_mb,is_incomplete_download,is_archive,has_manifest_errors
swhgz_8ac060901a96,searchable_pdf,盛泽镇志.pdf,江苏,.pdf,searchable_text_pdf,176,29.79,False,False,False
swhgz_f4a9a18a5f20,searchable_pdf,岳西卫生志.pdf,安徽,.pdf,searchable_text_pdf,406,13.22,False,False,False
swhgz_7bb6b2710a31,searchable_pdf,泰州方志考略.pdf,跨省/综合,.pdf,searchable_text_pdf,13,0.97,False,False,False
swhgz_32ffc1ff5554,searchable_pdf,阜宁县土壤志.pdf,江苏,.pdf,searchable_text_pdf,215,33.5,False,False,False
swhgz_842a00b22f4b,searchable_pdf,（道光）来安县志.pdf,安徽,.pdf,searchable_text_pdf,519,4.03,False,False,False
swhgz_4c1c359217c6,partial_text_pdf,南京建置志（一）.pdf,江苏,.pdf,mostly_scanned_with_some_text,198,42.73,False,False,False
swhgz_366454084eda,partial_text_pdf,安徽省志·纺织工业志.pdf,安徽,.pdf,mostly_scanned_with_some_text,386,14.23,False,False,False
swhgz_004a021677a6,partial_text_pdf,近代上海地区方志经济史料选辑（1840—1949）.pdf,上海,.pdf,mostly_scanned_with_some_text,404,6.9,False,False,False
swhgz_56f4b0d92bf6,partial_text_pdf,上海地方志概述.pdf,跨省/综合,.pdf,mostly_scanned_with_some_text,100,3.37,False,False,False
swhgz_6a7cf18fdfc3,scanned_pdf,兴化方言志.pdf,江苏,.pdf,scanned_image_pdf_no_text_layer,27,1.49,False,False,False
swhgz_34aaf204b2c3,scanned_pdf,[光绪]重修安徽通志总目录.pdf,安徽,.pdf,scanned_image_pdf_no_text_layer,15,0.57,False,False,False
swhgz_41e345749dec,scanned_pdf,嘉定县志·方言.pdf,上海,.pdf,scanned_image_pdf_no_text_layer,40,2.05,False,False,False
swhgz_29ee7be00abe,scanned_pdf,安徽方志考略.pdf,跨省/综合,.pdf,scanned_image_pdf_no_text_layer,140,2.87,False,False,False
swhgz_1678af90cf34,scanned_pdf,灵岩志略.pdf,未判定/综合,.pdf,scanned_image_pdf_no_text_layer,43,0.53,False,False,False
swhgz_4156be344675,doc,江苏省交通志·公路篇(1978-2008) 道路运输（草.doc,江苏,.doc,,,1.52,False,False,False
swhgz_321865661e46,doc,安徽省 枞阳县志.doc,安徽,.doc,,,0.99,False,False,False
swhgz_3e8acdade16f,doc,（上海市）静安区志（一）.doc,上海,.doc,,,1.62,False,False,False
swhgz_4ce3b5c5c31c,doc,江苏旧方志提要.doc,跨省/综合,.doc,,,1.58,False,False,False
swhgz_183d73f4dfa0,qc_edge,江苏省志 文物志.pdf.baiduyun.p.downloading,江苏,.pdf.baiduyun.p.downloading,scanned_image_pdf_no_text_layer,815,48.48,True,False,False
swhgz_b1898e92cfcb,qc_edge,苏州市志 第一册.rar,江苏,.rar,,,49.28,False,True,True
